Date,Volume,Open,Close,High,Low
12/17/21,2767817,269.75,277.65,279.7,267.84
12/20/21,1651616,270,275.12,276.82,268.04
12/21/21,1103764,278.94,280.42,282.12,272.99
12/22/21,979654,280.65,282.61,284.52,279
12/23/21,1079189,282.13,280.99,283.52,280.2
12/27/21,721705,282.95,284.3,285.38,281.26
12/28/21,681840,285,282.77,285.37,281.61
12/29/21,547754,282.77,282.57,283.39,279.26
12/30/21,696432,282.73,281.71,285.01,281.23
12/31/21,643351,281.71,281.19,283.93,280.34
1/3/22,1082824,280.73,283.72,284.96,275.66
1/4/22,1282923,283.15,278.19,284.87,273.04
1/5/22,1559929,276.51,264.32,278.07,263.81
1/6/22,1679507,261.94,264.11,266.07,259.94
1/7/22,1179033,262.5,262.32,266.64,258.49
1/10/22,1637519,256.54,262.39,262.73,250.6
1/11/22,1373111,260.47,270.63,271.99,260
1/12/22,1185002,271.26,269.6,274.95,265.29
1/13/22,1297867,271.81,260.17,273.31,259.59
1/14/22,1856713,258.08,259.1,261.37,251.14
1/18/22,1612957,253.9,252.03,257.99,251.2
1/19/22,1609723,253.88,254.35,259.5,252.84
1/20/22,1908635,258.9,252.41,262.49,252.14
1/21/22,2880179,250.22,239.19,250.61,238.82
1/24/22,3647023,234.25,245.35,246.29,229.62
1/25/22,2851310,240.02,233.78,240.94,230.93
1/26/22,1989175,237.1,233.28,242.55,230.86
1/27/22,1563526,235.61,228.66,239.75,228.07
1/28/22,1958880,229.61,239.54,239.78,226.4
1/31/22,1415922,239.71,249.79,249.91,239.29
2/1/22,1468529,250.89,249.77,250.96,244.56
2/2/22,1431845,250.93,248,252.34,245.86
2/3/22,1570151,242.45,237.76,245.84,236.81
2/4/22,1458394,235.52,241.24,244.65,235.51
2/7/22,1313280,242.54,240.48,245.42,239.47
2/8/22,1635750,240.19,241.1,242.26,237
2/9/22,1441681,244.35,251.34,251.42,244.2
2/10/22,2050066,242.68,238.52,248.03,236.49
2/11/22,1865129,239.77,227.13,241.08,226.61
2/14/22,1692476,227.66,226.9,231.33,223.81
2/15/22,1377926,229.94,233.38,234.41,227.69
2/16/22,1358047,232.73,233.74,234.82,227.27
2/17/22,2230374,231.3,223.39,231.79,222.19
2/18/22,2793031,224.49,216.84,228.11,216.19
2/22/22,3351834,216.5,215.65,219.79,215
2/23/22,2786338,217.74,209.02,218.9,208.74
2/24/22,4380635,204.13,218.18,218.34,199.63
2/25/22,2886056,218.18,219.62,226.71,212.73
2/28/22,1926729,218.19,220.23,221.63,216.46
3/1/22,1845939,220.94,214,222.62,213.3
3/2/22,1677230,216.34,216.51,218.16,209.52
3/3/22,1730045,219.45,210,219.45,208.56
3/4/22,1964126,209,207.66,212.35,206.52
3/7/22,1930463,207.9,199.09,209.69,199.02
3/8/22,1974045,197.7,195.95,202.57,192.34
3/9/22,1850028,202.71,204.88,207.76,200.98
3/10/22,1458925,199.88,199.79,203.07,198.04
3/11/22,1987062,198.26,192.31,200.63,192.11
3/14/22,2194051,192.31,188.7,194.17,186.29
3/15/22,1696804,190.36,192.43,193.72,188.99
3/16/22,2432019,195.97,204.5,204.63,195.36
3/17/22,2241423,204.05,211.65,212.22,202.37
3/18/22,2777338,210,213.3,215.31,209.85
3/21/22,1640988,211.73,212.38,213.84,208.06
3/22/22,1470872,211.98,216.66,218.87,211.02
3/23/22,2462943,213.76,207.34,214.97,206.33
3/24/22,2507738,208.9,213.05,213.08,204.58
3/25/22,1466517,213.26,212.14,214.74,207.76
3/28/22,1698238,212.87,215.41,216.09,211.45
3/29/22,1799337,219.55,223,223.45,217.96
3/30/22,1747200,218.62,221,223.81,218.28
3/31/22,1967732,219.42,214.35,221.71,214.19
4/1/22,1329121,215.62,213.04,217.23,210.56
4/4/22,1128459,213.88,218.77,220.41,213.75
4/5/22,1415837,218.16,211.55,218.58,210.68
4/6/22,1947035,207.23,203.94,208.98,202.58
4/7/22,1391952,202.43,204.77,206.86,201.52
4/8/22,1421051,201.94,202.25,205.47,198.2
4/11/22,1455325,198.41,199.03,202.09,197.65
4/12/22,1335963,203.4,196.14,206.23,195.24
4/13/22,1158898,196,201.74,202.19,195.34
4/14/22,1197184,202.97,196.73,203.17,196.22
4/18/22,1142329,195.09,196.54,198.7,193.64
4/19/22,1764238,194.35,203.8,205.74,194.35
4/20/22,1244473,205.86,201.92,207.05,201.72
4/21/22,1536956,204.92,195.13,209,193.98
4/22/22,1686900,194.57,187.31,195.62,187.07
4/25/22,1719060,186.65,191.15,191.54,185.55
4/26/22,1605992,189.33,185.59,190,183.84
4/27/22,1917807,185.59,180.47,189.68,180.19
4/28/22,2083668,185.25,195.84,198.04,184.95
4/29/22,1425848,193.71,189.28,196.6,188.76
5/2/22,1741613,189.23,192.9,193.28,186.76
5/3/22,1696148,192.36,193.22,194.16,188.89
5/4/22,2023743,193.7,203.75,204.1,191.58
5/5/22,3483851,203.78,198.39,204.79,195.61
5/6/22,2921609,196.39,193.77,197.65,187.11
5/9/22,3236848,189.33,186.32,191.91,185.03
5/10/22,2757018,193.3,186.41,194.32,181.17
5/11/22,2388426,183.51,180.68,191.83,179.75
5/12/22,2554330,177.48,185.05,186.64,175.41
5/13/22,1731426,187.12,197.07,197.5,186.56
5/16/22,1342905,194.45,192.58,196.38,191.66
5/17/22,1596082,197,195.64,198.99,189.54
5/18/22,1286941,192.09,187.98,193.95,186.4
