Date,Volume,Open,Close,High,Low,CCI,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
11/1/24,1047852,282.83,286.57,289.26,281.61,40.104933021953975,61.04999999999984,10.29000000000002,14.709999999999923,16.855036855036932,24.095004095004033,34.343638650564365,48.76398321
11/4/24,896358,287.19,287.62,289.76,285.32,52.544538853814856,62.81999999999988,9.260000000000048,14.709999999999923,14.74052849411026,23.416109519261305,28.276802788752708,45.72197307350754
11/5/24,1009401,288.84,291.79,293.06,287,77.09884467,64.41999999999985,11.160000000000025,14.709999999999923,17.323812480596168,22.834523439925423,22.28505401,41.93871771951414
11/6/24,2258401,299,302.33,305.49,297.91,180.10184802503434,74.36999999999983,20.07000000000005,14.709999999999923,26.986688180718158,19.779480973510765,18.764321281096993,36.38093423584227
11/7/24,1057217,302.95,305.51,306.23,301.05,199.2849395412364,75.41999999999985,19.56000000000006,14.709999999999923,25.934765314240387,19.504110315566102,14.738237328402993,31.912975088860456
11/8/24,968605,306.26,305.56,307.17,305.02,210.42649342554256,72.61999999999989,20.500000000000057,13.509999999999934,28.22913797851843,18.60369044340396,17.375911161120257,28.912847712062675
11/11/24,1557009,305.46,313.89,314.7,304.64,236.5357432,78.39999999999992,28.03000000000003,10.959999999999923,35.752551020408234,13.97959183673461,21.72598724900615,28.034812949785255
11/12/24,1748774,311.22,309.73,314.01,304.75,191.19968171134605,83.11,28.03000000000003,8.64,33.72638671640003,10.395860907231308,26.749363399776815,27.51308309426476
11/13/24,1273488,308.63,313.14,315.73,307.91,184.85540909884358,87.26999999999987,28.170000000000016,8.64,32.27913372292891,9.900309384668205,33.30499277856858,27.79502339291264
11/14/24,1545643,310.23,306.65,312.88,305.98,130.94082521302573,90.46999999999986,28.170000000000016,10.099999999999966,31.137393611141885,11.163921742013907,38.605990366452694,28.685155823774842
11/15/24,2300222,305.06,299.15,305.08,297.12,57.20607856304468,97.39999999999986,28.170000000000016,18.95999999999998,28.921971252566795,19.466119096509246,39.504219262419944,27.12122829541147
11/18/24,920116,299.36,302.05,303.01,297,52.685197741197754,97.69999999999987,28.170000000000016,17.230000000000018,28.83316274309115,17.635619242579367,40.094908879924624,28.73541002052244
11/19/24,1348276,298.13,305.2,306.4,298.02,66.15221503070899,102.7999999999999,30.55000000000001,17.230000000000018,29.717898832684863,16.760700389105093,37.44446164651067,29.585224447758407
11/20/24,1442321,305.93,307.84,308.38,303.15,83.58125368667228,102.62999999999994,32.53000000000003,12.720000000000027,31.696385072590907,12.394036831335901,35.92812737052063,31.33874538514872
11/21/24,1602211,310,315.41,317.45,308.25,125.26599546485294,104.58999999999997,41.60000000000002,10.910000000000025,39.77435701309879,10.431207572425688,36.82642329800874,35.06570803828866
11/22/24,1905591,315.96,321.27,321.9,315.04,148.47272647259453,107.00999999999993,45.55000000000001,10.910000000000025,42.566115316325615,10.19530884964025,39.182428135028935,38.894209250740815
11/25/24,2967370,324.53,319.39,326.62,318.69,146.26496302475968,108.87999999999994,46.97000000000003,10.910000000000025,43.13923586,10.020205731080116,46.30903144710475,42.90662535476235
11/26/24,2519923,320.79,317.96,320.99,316.54,116.45018385468614,99.62999999999994,34.54000000000002,13.060000000000002,34.66827260865205,13.108501455384934,49.813887133872846,44.954398006898735
11/27/24,3442326,293.2,290.64,301.47,289.65,-40.2431695,122.75999999999993,33.80000000000001,39.950000000000045,27.533398501140457,32.54317367220599,46.557422121208894,42.00094188385978
11/29/24,1317760,289.03,291.9,292.62,289.03,-60.5005058,124.19999999999993,32.860000000000014,40.57000000000005,26.457326892109528,32.66505636070859,41.01088715436836,38.469507262444495
12/2/24,2073018,291.74,296.65,297.94,291.44,-36.57634499,120.63999999999993,30.650000000000034,40.57000000000005,25.406167108753362,33.62897877984091,33.591330727313554,35.20887701266115
12/3/24,1944513,294.14,298.96,301.59,293.5,-22.30824491,119.46999999999991,34.30000000000001,40.57000000000005,28.710136435925364,33.95831589520388,24.76155497,31.971991551281267
12/4/24,1528707,302.72,304.23,304.97,299.89,9.650951399,117.65999999999997,35.960000000000036,40.57000000000005,30.56263810980796,34.48070712221661,15.381966377880099,30.845498912492424
12/5/24,1378778,302.53,305.17,307.25,301.32,17.52025425376738,116.43,38.24000000000001,38.64000000000004,32.84376878811304,33.18732285493433,7.947673201712653,28.88078016779275
12/6/24,1377635,305.92,307.71,309.43,305.56,37.59111583379677,111.16000000000003,40.420000000000016,29.78000000000003,36.362000719683344,26.790212306585122,9.083958552687255,27.820690336948076
12/9/24,1599948,308,308.55,311.51,305.72,41.56070120006694,110.94,42.5,29.660000000000025,38.30899585361457,26.735172165134333,10.299624527764038,25.65525584
12/10/24,1110152,306.16,303.99,307.8,303.63,4.108518191,107.48000000000002,39.110000000000014,31.750000000000057,36.388165240044664,29.540379605508047,9.709292233615267,21.65031148046441
12/11/24,1261847,305.37,307.46,310.9,304.76,24.107744107744228,109.15999999999997,40.22999999999996,31.750000000000057,36.85415903261266,29.08574569439361,10.277047977667486,17.519301472600542
